vdi_guacamole2.1.iytle5jay8ee@swarm-3    | 18:31:41.140 [http-nio-8080-exec-7] INFO  o.a.g.r.auth.AuthenticationService - User "student850000000" successfully authenticated from [10.255.0.2, 10.0.19.11].
vdi_guacamole2.1.iytle5jay8ee@swarm-3    | 18:31:41.427 [http-nio-8080-exec-2] INFO  o.a.g.tunnel.TunnelRequestService - User "student850000000" connected to group "1".
vdi_guacamole2.1.iytle5jay8ee@swarm-3    | 18:31:42.240 [http-nio-8080-exec-3] INFO  o.a.g.tunnel.TunnelRequestService - User "student850000000" disconnected from connection group "1". Duration: 813 milliseconds
vdi_guacamole2.1.iytle5jay8ee@swarm-3    | 18:31:47.788 [http-nio-8080-exec-9] INFO  o.a.g.r.auth.AuthenticationService - User "student850000000" successfully authenticated from [10.255.0.2, 10.0.19.11].
vdi_guacamole2.1.iytle5jay8ee@swarm-3    | 18:31:48.147 [http-nio-8080-exec-3] INFO  o.a.g.tunnel.TunnelRequestService - User "student850000000" connected to group "1".
vdi_guacamole2.1.iytle5jay8ee@swarm-3    | 18:31:50.315 [http-nio-8080-exec-10] INFO  o.a.g.tunnel.TunnelRequestService - User "student850000000" disconnected from connection group "1". Duration: 2168 milliseconds
vdi_guacamole2.1.iytle5jay8ee@swarm-3    | 18:31:53.059 [http-nio-8080-exec-5] INFO  o.a.g.r.auth.AuthenticationService - User "student850000000" successfully authenticated from [10.255.0.2, 10.0.19.11].
vdi_guacamole2.1.iytle5jay8ee@swarm-3    | 18:31:53.343 [http-nio-8080-exec-9] INFO  o.a.g.tunnel.TunnelRequestService - User "student850000000" connected to group "1".
vdi_guacamole2.1.iytle5jay8ee@swarm-3    | 18:31:54.582 [http-nio-8080-exec-4] INFO  o.a.g.tunnel.TunnelRequestService - User "student850000000" disconnected from connection group "1". Duration: 1239 milliseconds
vdi_guacamole2.1.iytle5jay8ee@swarm-3    | 18:32:00.349 [http-nio-8080-exec-5] INFO  o.a.g.r.auth.AuthenticationService - User "student850000000" successfully authenticated from [10.255.0.2, 10.0.19.11].
vdi_guacamole2.1.iytle5jay8ee@swarm-3    | 18:32:00.711 [http-nio-8080-exec-9] INFO  o.a.g.tunnel.TunnelRequestService - User "student850000000" connected to group "1".
vdi_guacamole2.1.iytle5jay8ee@swarm-3    | 18:32:01.580 [http-nio-8080-exec-1] INFO  o.a.g.tunnel.TunnelRequestService - User "student850000000" disconnected from connection group "1". Duration: 869 milliseconds
vdi_guacamole2.1.iytle5jay8ee@swarm-3    | 18:32:05.684 [http-nio-8080-exec-3] INFO  o.a.g.r.auth.AuthenticationService - User "student850000000" successfully authenticated from [10.255.0.2, 10.0.19.11].
vdi_guacamole2.1.iytle5jay8ee@swarm-3    | 18:32:05.983 [http-nio-8080-exec-7] INFO  o.a.g.tunnel.TunnelRequestService - User "student850000000" connected to group "1".
vdi_guacamole2.1.iytle5jay8ee@swarm-3    | 18:32:09.696 [http-nio-8080-exec-6] INFO  o.a.g.tunnel.TunnelRequestService - User "student850000000" disconnected from connection group "1". Duration: 3713 milliseconds
vdi_guacamole2.1.iytle5jay8ee@swarm-3    | 18:32:15.429 [http-nio-8080-exec-6] INFO  o.a.g.r.auth.AuthenticationService - User "student850000000" successfully authenticated from [10.255.0.2, 10.0.19.11].
vdi_guacamole2.1.iytle5jay8ee@swarm-3    | 18:32:15.846 [http-nio-8080-exec-4] INFO  o.a.g.tunnel.TunnelRequestService - User "student850000000" connected to group "1".
vdi_guacamole2.1.iytle5jay8ee@swarm-3    | 18:32:16.749 [http-nio-8080-exec-8] INFO  o.a.g.tunnel.TunnelRequestService - User "student850000000" disconnected from connection group "1". Duration: 902 milliseconds
vdi_guacamole2.1.iytle5jay8ee@swarm-3    | 18:32:19.724 [http-nio-8080-exec-3] INFO  o.a.g.r.auth.AuthenticationService - User "student850000000" successfully authenticated from [10.255.0.2, 10.0.19.11].
vdi_guacamole2.1.iytle5jay8ee@swarm-3    | 18:32:20.002 [http-nio-8080-exec-1] INFO  o.a.g.tunnel.TunnelRequestService - User "student850000000" connected to group "1".
vdi_guacamole2.1.iytle5jay8ee@swarm-3    | 18:32:21.625 [http-nio-8080-exec-4] INFO  o.a.g.tunnel.TunnelRequestService - User "student850000000" disconnected from connection group "1". Duration: 1623 milliseconds
vdi_guacamole2.1.iytle5jay8ee@swarm-3    | 18:32:26.694 [http-nio-8080-exec-8] INFO  o.a.g.r.auth.AuthenticationService - User "student850000000" successfully authenticated from [10.255.0.2, 10.0.19.11].
vdi_guacamole2.1.iytle5jay8ee@swarm-3    | 18:32:27.066 [http-nio-8080-exec-8] INFO  o.a.g.tunnel.TunnelRequestService - User "student850000000" connected to group "1".
vdi_guacamole2.1.iytle5jay8ee@swarm-3    | 18:32:28.211 [http-nio-8080-exec-4] INFO  o.a.g.tunnel.TunnelRequestService - User "student850000000" disconnected from connection group "1". Duration: 1145 milliseconds
vdi_guacamole2.1.iytle5jay8ee@swarm-3    | 18:32:31.067 [http-nio-8080-exec-9] INFO  o.a.g.r.auth.AuthenticationService - User "student850000000" successfully authenticated from [10.255.0.2, 10.0.19.11].
vdi_guacamole2.1.iytle5jay8ee@swarm-3    | 18:32:31.354 [http-nio-8080-exec-2] INFO  o.a.g.tunnel.TunnelRequestService - User "student850000000" connected to group "1".
vdi_guacamole2.1.iytle5jay8ee@swarm-3    | 18:32:32.674 [http-nio-8080-exec-10] INFO  o.a.g.tunnel.TunnelRequestService - User "student850000000" disconnected from connection group "1". Duration: 1320 milliseconds
vdi_guacamole2.1.iytle5jay8ee@swarm-3    | 18:32:38.724 [http-nio-8080-exec-2] INFO  o.a.g.r.auth.AuthenticationService - User "student850000000" successfully authenticated from [10.255.0.2, 10.0.19.11].
vdi_guacamole2.1.iytle5jay8ee@swarm-3    | 18:32:39.122 [http-nio-8080-exec-10] INFO  o.a.g.tunnel.TunnelRequestService - User "student850000000" connected to group "1".
vdi_guacamole2.1.iytle5jay8ee@swarm-3    | 18:32:40.111 [http-nio-8080-exec-2] INFO  o.a.g.tunnel.TunnelRequestService - User "student850000000" disconnected from connection group "1". Duration: 989 milliseconds
vdi_guacamole2.1.iytle5jay8ee@swarm-3    | 18:32:43.607 [http-nio-8080-exec-3] INFO  o.a.g.r.auth.AuthenticationService - User "student850000000" successfully authenticated from [10.255.0.2, 10.0.19.11].
vdi_guacamole2.1.iytle5jay8ee@swarm-3    | 18:32:43.902 [http-nio-8080-exec-6] INFO  o.a.g.tunnel.TunnelRequestService - User "student850000000" connected to group "1".
vdi_guacamole2.1.iytle5jay8ee@swarm-3    | 18:32:44.891 [http-nio-8080-exec-3] INFO  o.a.g.tunnel.TunnelRequestService - User "student850000000" disconnected from connection group "1". Duration: 989 milliseconds
vdi_guacamole2.1.iytle5jay8ee@swarm-3    | 18:33:20.764 [http-nio-8080-exec-8] ERROR o.a.d.l.c.api.LdapNetworkConnection - ERR_04122_SSL_CONTEXT_INIT_FAILURE Failed to initialize the SSL context
vdi_guacamole2.1.iytle5jay8ee@swarm-3    | java.lang.NullPointerException: null
vdi_guacamole2.1.iytle5jay8ee@swarm-3    | 	at org.apache.directory.ldap.client.api.LdapNetworkConnection.connect(LdapNetworkConnection.java:689) ~[guacamole-auth-ldap-1.0.0.jar:na]
vdi_guacamole2.1.iytle5jay8ee@swarm-3    | 	at org.apache.guacamole.auth.ldap.LDAPConnectionService.bindAs(LDAPConnectionService.java:137) [guacamole-auth-ldap-1.0.0.jar:na]
vdi_guacamole2.1.iytle5jay8ee@swarm-3    | 	at org.apache.guacamole.auth.ldap.AuthenticationProviderService.getUserBindDN(AuthenticationProviderService.java:120) [guacamole-auth-ldap-1.0.0.jar:na]
vdi_guacamole2.1.iytle5jay8ee@swarm-3    | 	at org.apache.guacamole.auth.ldap.AuthenticationProviderService.authenticateUser(AuthenticationProviderService.java:193) [guacamole-auth-ldap-1.0.0.jar:na]
vdi_guacamole2.1.iytle5jay8ee@swarm-3    | 	at org.apache.guacamole.auth.ldap.LDAPAuthenticationProvider.authenticateUser(LDAPAuthenticationProvider.java:77) [guacamole-auth-ldap-1.0.0.jar:na]
vdi_guacamole2.1.iytle5jay8ee@swarm-3    | 	at org.apache.guacamole.extension.AuthenticationProviderFacade.authenticateUser(AuthenticationProviderFacade.java:190) [classes/:na]
vdi_guacamole2.1.iytle5jay8ee@swarm-3    | 	at org.apache.guacamole.rest.auth.AuthenticationService.authenticateUser(AuthenticationService.java:168) [classes/:na]
vdi_guacamole2.1.iytle5jay8ee@swarm-3    | 	at org.apache.guacamole.rest.auth.AuthenticationService.getAuthenticatedUser(AuthenticationService.java:288) [classes/:na]
vdi_guacamole2.1.iytle5jay8ee@swarm-3    | 	at org.apache.guacamole.rest.auth.AuthenticationService.authenticate(AuthenticationService.java:441) [classes/:na]
vdi_guacamole2.1.iytle5jay8ee@swarm-3    | 	at org.apache.guacamole.rest.auth.TokenRESTService.createToken(TokenRESTService.java:173) [classes/:na]
vdi_guacamole2.1.iytle5jay8ee@swarm-3    | 	at sun.reflect.GeneratedMethodAccessor85.invoke(Unknown Source) ~[na:na]
vdi_guacamole2.1.iytle5jay8ee@swarm-3    | 	at sun.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:43) ~[na:1.8.0_212]
vdi_guacamole2.1.iytle5jay8ee@swarm-3    | 	at java.lang.reflect.Method.invoke(Method.java:498) ~[na:1.8.0_212]
vdi_guacamole2.1.iytle5jay8ee@swarm-3    | 	at com.sun.jersey.spi.container.JavaMethodInvokerFactory$1.invoke(JavaMethodInvokerFactory.java:60) [jersey-server-1.17.1.jar:1.17.1]
vdi_guacamole2.1.iytle5jay8ee@swarm-3    | 	at com.sun.jersey.server.impl.model.method.dispatch.AbstractResourceMethodDispatchProvider$TypeOutInvoker._dispatch(AbstractResourceMethodDispatchProvider.java:185) [jersey-server-1.17.1.jar:1.17.1]
vdi_guacamole2.1.iytle5jay8ee@swarm-3    | 	at com.sun.jersey.server.impl.model.method.dispatch.ResourceJavaMethodDispatcher.dispatch(ResourceJavaMethodDispatcher.java:75) [jersey-server-1.17.1.jar:1.17.1]
vdi_guacamole2.1.iytle5jay8ee@swarm-3    | 	at com.sun.jersey.server.impl.uri.rules.HttpMethodRule.accept(HttpMethodRule.java:302) [jersey-server-1.17.1.jar:1.17.1]
vdi_guacamole2.1.iytle5jay8ee@swarm-3    | 	at com.sun.jersey.server.impl.uri.rules.ResourceClassRule.accept(ResourceClassRule.java:108) [jersey-server-1.17.1.jar:1.17.1]
vdi_guacamole2.1.iytle5jay8ee@swarm-3    | 	at com.sun.jersey.server.impl.uri.rules.RightHandPathRule.accept(RightHandPathRule.java:147) [jersey-server-1.17.1.jar:1.17.1]
vdi_guacamole2.1.iytle5jay8ee@swarm-3    | 	at com.sun.jersey.server.impl.uri.rules.RootResourceClassesRule.accept(RootResourceClassesRule.java:84) [jersey-server-1.17.1.jar:1.17.1]
vdi_guacamole2.1.iytle5jay8ee@swarm-3    | 	at com.sun.jersey.server.impl.application.WebApplicationImpl._handleRequest(WebApplicationImpl.java:1511) [jersey-server-1.17.1.jar:1.17.1]
vdi_guacamole2.1.iytle5jay8ee@swarm-3    | 	at com.sun.jersey.server.impl.application.WebApplicationImpl._handleRequest(WebApplicationImpl.java:1442) [jersey-server-1.17.1.jar:1.17.1]
vdi_guacamole2.1.iytle5jay8ee@swarm-3    | 	at com.sun.jersey.server.impl.application.WebApplicationImpl.handleRequest(WebApplicationImpl.java:1391) [jersey-server-1.17.1.jar:1.17.1]
vdi_guacamole2.1.iytle5jay8ee@swarm-3    | 	at com.sun.jersey.server.impl.application.WebApplicationImpl.handleRequest(WebApplicationImpl.java:1381) [jersey-server-1.17.1.jar:1.17.1]
vdi_guacamole2.1.iytle5jay8ee@swarm-3    | 	at com.sun.jersey.spi.container.servlet.WebComponent.service(WebComponent.java:416) [jersey-servlet-1.17.1.jar:1.17.1]
vdi_guacamole2.1.iytle5jay8ee@swarm-3    | 	at com.sun.jersey.spi.container.servlet.ServletContainer.service(ServletContainer.java:538) [jersey-servlet-1.17.1.jar:1.17.1]
vdi_guacamole2.1.iytle5jay8ee@swarm-3    | 	at com.sun.jersey.spi.container.servlet.ServletContainer.service(ServletContainer.java:716) [jersey-servlet-1.17.1.jar:1.17.1]
vdi_guacamole2.1.iytle5jay8ee@swarm-3    | 	at javax.servlet.http.HttpServlet.service(HttpServlet.java:742) [servlet-api.jar:na]
vdi_guacamole2.1.iytle5jay8ee@swarm-3    | 	at com.google.inject.servlet.ServletDefinition.doService(ServletDefinition.java:263) [guice-servlet-3.0.jar:na]
vdi_guacamole2.1.iytle5jay8ee@swarm-3    | 	at com.google.inject.servlet.ServletDefinition.service(ServletDefinition.java:178) [guice-servlet-3.0.jar:na]
vdi_guacamole2.1.iytle5jay8ee@swarm-3    | 	at com.google.inject.servlet.ManagedServletPipeline.service(ManagedServletPipeline.java:91) [guice-servlet-3.0.jar:na]
vdi_guacamole2.1.iytle5jay8ee@swarm-3    | 	at com.google.inject.servlet.FilterChainInvocation.doFilter(FilterChainInvocation.java:62) [guice-servlet-3.0.jar:na]
vdi_guacamole2.1.iytle5jay8ee@swarm-3    | 	at com.google.inject.servlet.ManagedFilterPipeline.dispatch(ManagedFilterPipeline.java:118) [guice-servlet-3.0.jar:na]
vdi_guacamole2.1.iytle5jay8ee@swarm-3    | 	at com.google.inject.servlet.GuiceFilter.doFilter(GuiceFilter.java:113) [guice-servlet-3.0.jar:na]
vdi_guacamole2.1.iytle5jay8ee@swarm-3    | 	at org.apache.catalina.core.ApplicationFilterChain.internalDoFilter(ApplicationFilterChain.java:193) [catalina.jar:8.5.40]
vdi_guacamole2.1.iytle5jay8ee@swarm-3    | 	at org.apache.catalina.core.ApplicationFilterChain.doFilter(ApplicationFilterChain.java:166) [catalina.jar:8.5.40]
vdi_guacamole2.1.iytle5jay8ee@swarm-3    | 	at org.apache.catalina.core.StandardWrapperValve.invoke(StandardWrapperValve.java:199) [catalina.jar:8.5.40]
vdi_guacamole2.1.iytle5jay8ee@swarm-3    | 	at org.apache.catalina.core.StandardContextValve.invoke(StandardContextValve.java:96) [catalina.jar:8.5.40]
